Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Kris Humphries,PFC,ATL,82,0,-0.869,-0.764,-0.754,-0.598,-1.027,-0.929,0.558,-0.258,0.977,-0.407,NA
David Lee,PFC,SAS,82,0,-1.015,-1.087,-0.433,-0.805,-1.027,0.203,0.374,-0.863,0.827,-0.425,NA
Bobby Portis,PFC,CHI,75,17.6,-0.687,-0.2,-0.754,-0.598,-0.768,-0.929,-0.024,-0.409,0.527,-0.427,NA
Luis Scola,PFC,BKN,82,0,-0.778,-0.885,-0.673,-1.012,-0.768,-0.538,0.016,-0.107,0.827,-0.435,NA
Andrew Nicholson,PF,WAS,82,0,-0.887,-1.127,-0.994,-0.805,-1.285,-0.207,0.333,0.044,0.977,-0.439,NA
Marquese Chriss,PF,PHO,82,0,-0.723,-1.127,-0.914,-0.391,-0.768,-0.246,-0.178,-0.409,0.677,-0.453,NA
Marreese Speights,PFC,LAC,82,0,-1.07,-1.248,-0.914,-0.598,-1.027,-0.538,0.701,-0.56,1.127,-0.459,NA
Dragan Bender,PF,PHO,76,17.3,-0.778,-0.845,-0.273,-0.598,-1.285,-0.636,-0.341,-0.409,0.827,-0.482,NA
Jordan Hill,PFC,MIN,82,0,-1.124,-1.168,-0.834,-1.012,-1.285,0.574,0.149,-0.863,0.977,-0.509,NA
Josh McRoberts,PFC,MIA,82,0,-1.161,-1.168,0.448,-1.012,-0.51,-1.69,0.221,-0.258,0.527,-0.511,NA
Anderson Varejao,PFC,GSW,82,0,-1.543,-1.611,-0.914,-1.219,-1.544,1.218,0.282,-0.863,1.577,-0.513,NA
Omer Asik,PFC,NOR,82,0,-1.051,0.485,-0.914,-0.805,-1.027,0.808,-1.648,-0.863,0.377,-0.515,NA
Jerami Grant,SFPF,PHI,79,24.3,-0.742,-1.127,-0.353,0.023,-0.768,-1.573,-0.709,-0.258,0.527,-0.553,NA
Boris Diaw,PFC,UTH,82,0,-1.215,-1.53,-0.353,-1.012,-1.285,0.145,0.108,-0.56,0.677,-0.558,NA
Trey Lyles,PF,UTH,81,21.3,-0.906,-0.805,-0.673,-1.012,-1.027,-0.987,-0.249,-0.107,0.677,-0.565,NA
Paul Pierce,SFPF,LAC,82,0,-1.142,-1.611,-0.754,-1.012,-1.027,-1.729,0.69,0.346,1.127,-0.568,NA
Jonas Jerebko,SFPF,BOS,82,0,-1.416,-1.45,-0.834,-1.012,-1.285,-1.104,0.956,-0.258,1.277,-0.57,NA
Dante Cunningham,SFPF,NOR,82,0,-1.47,-1.813,-0.994,-1.012,-1.285,-1.085,1.313,-0.409,1.577,-0.575,NA
Kosta Koufos,PFC,SAC,82,0,-1.434,-1.409,-1.154,-0.598,-1.285,0.964,-1.75,-0.863,1.427,-0.678,NA
Chris McCullough,PF,BKN,82,0,-1.288,-1.45,-1.074,-0.805,0.266,-1.69,-2.322,-0.258,1.127,-0.833,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
